
 Chronos platform initializing... 

 This terminal belongs to the address: 102

 This processor is a Slave: 
102 PE is alive - 0 -
102 PE is alive - 1 -
102 PE is alive - 2 -
102 PE is alive - 3 -
102 PE is alive - 4 -
102 PE is alive - 5 -
102 PE is alive - 6 -
102 PE is alive - 7 -
102 PE is alive - 8 -
102 PE is alive - 9 -
102 PE is alive - 10 -
102 PE is alive - 11 -
102 PE is alive - 12 -
102 PE is alive - 13 -
102 PE is alive - 14 -
102 PE is alive - 15 -
102 PE is alive - 16 -
102 PE is alive - 17 -
102 PE is alive - 18 -
102 PE is alive - 19 -
102 PE is alive - 20 -
102 PE is alive - 21 -
102 PE is alive - 22 -
102 PE is alive - 23 -
102 PE is alive - 24 -
102 PE is alive - 25 -
102 PE is alive - 26 -
102 PE is alive - 27 -
102 PE is alive - 28 -
102 PE is alive - 29 -
102 PE is alive - 30 -
102 PE is alive - 31 -
102 PE is alive - 32 -
102 PE is alive - 33 -
